"IDNum","frag","dmg","spot","def","win"
54273,1.67,421.75,1.08,1.59,59.17
54289,0.85,1272.27,0.86,0.88,51.05
54305,1.83,232.98,0.91,1.16,58.3
54353,1.27,605.59,1.53,1.22,56.42
54529,1.46,254.52,1.48,1.38,57.96
54545,1.09,556.09,1.56,1.17,55.41
54609,1.11,293.06,0.13,1.45,55.15
54785,1.16,874.47,0.6,0.8,54.93
54801,1.06,251.59,2.75,1.33,58.82
54865,1.18,178.75,1.37,1.03,56.31
55057,1.17,565.73,1.34,1.57,53.28
55073,1.1,169.58,1.42,0.99,57.95
55121,0.96,979.72,1.08,1.07,54.35
55297,1.21,1139.83,0.79,0.91,54.64
55313,0.94,1282.79,0.75,1.09,50.78
55569,1.31,1060.58,1.46,1.61,52.25
55841,0.98,1871.71,1.33,0.74,49.09
55889,1.24,847.02,2.22,1.08,57.33
56097,0.98,715.17,1.3,1.04,54.41
56321,1.83,232.98,0.91,1.16,58.3
56353,1.01,1084.11,0.76,1.35,52.44
56401,0.95,1918.96,1.08,0.64,49.34
56577,1.15,261.46,1.23,1.37,56.01
56609,1.01,1090.18,0.79,0.83,54.75
56833,0.95,928.14,1.46,0.99,53.53
57089,0.95,928.14,1.46,0.99,53.53
57105,1.09,842.75,0.71,1.02,52.34
57121,0.9,1230.94,1.27,0.93,53.31
57345,0.88,1162.12,1.31,0.91,51.62
57361,0.91,705.13,1.01,1.16,52.16
57377,0.92,1265.65,1.33,0.93,52.61
57617,0.93,872.44,1.23,1.11,52.85
57633,0.65,702.7,2.1,0.67,51.16
57873,1.83,232.98,0.91,1.16,58.3
57889,0.65,702.7,2.1,0.67,51.16
58113,1.14,815.88,1.36,0.86,57.91
58129,1.83,232.98,0.91,1.16,58.3
58369,0.97,2027.7,1.33,0.76,50.35
58385,1.83,232.98,0.91,1.16,58.3
58625,1.01,1369.06,0.69,0.98,51.12
58641,0.97,1963.47,0.96,0.54,50.62
58657,0.92,1283.61,1.07,0.81,52.12
58881,0.96,1357.94,1,0.81,52.98
58913,0.97,1345.99,1.25,0.78,54.31
59137,1.18,1220.76,1.08,0.78,57.21
59169,0.95,1375.05,1.28,0.83,55.3
59393,1.15,867.21,1.48,1.04,56.77
59409,1.25,657.37,1.24,1.15,56.07
59425,0.87,1376.02,0.81,0.69,54.21
59649,1.16,1104.95,0.6,0.82,54.31
59665,1.21,296.79,1.32,1.17,57.05
59681,1.21,909.58,1.21,1.24,58.07
59905,0.93,1198.74,1.12,0.86,53.24
60177,0.87,1170.49,1.1,0.88,50.98
60417,0.94,1335.04,0.92,0.67,54.31
60433,1.07,196.51,1.59,1.34,60.16
60673,1.03,1882.27,1.43,0.8,49.6
60689,1.06,515.19,0.63,1.32,51.35
60929,0.97,239.64,1.77,0.81,55.61
60945,1.07,1607.24,1.25,0.87,52.9
61441,1.35,533.69,1.1,1.02,58.85
61969,0.91,1126.43,0.92,1.11,49.22
62017,0.88,1371.45,1,0.66,54.16
62225,1,1106.68,1.02,0.92,54.23
62273,0.92,1283.61,1.07,0.81,52.12
62529,1.16,1547.64,1.06,0.87,53.62
62721,0.92,1283.61,1.07,0.81,52.12
62977,0.88,1162.12,1.31,0.91,51.62
63041,0.96,1354.6,0.85,0.89,52.22
63297,0.7,703.11,2.01,0.71,51.44
63553,0.9,1199.66,1.47,0.98,51.16
63793,0.88,1117.24,1.24,0.81,52.57
64017,0.7,860.12,2.4,0.71,51.82
64049,0.95,1188.49,1.38,0.78,51.06
64065,0.95,1263.18,1.39,1.04,51.03
64257,0.95,1918.96,1.08,0.64,49.34
64273,0.88,1191.24,1.3,0.91,51.85
64561,0.92,1255.23,1.29,0.71,52.52
64817,0.69,578.76,2.42,0.77,52.38
65073,0.92,1283.61,1.07,0.81,52.12
7441,0.87,1531.17,0.89,0.66,51.43
61953,0.96,1231.03,1.36,0.82,52.89
55633,0.87,1228.44,1.04,0.87,52.36
62993,1.06,1190.21,1.08,0.93,56.07
63505,0.68,195.27,1.03,1.12,56.76
63249,1.13,583.32,1.1,1.34,55.1
52817,0.9,340.51,1.28,0.84,57.09
61713,1.05,1118.72,0.46,1.03,52.29
56145,1.04,830.08,1.04,0.96,55.41
61457,1.09,517.09,1.38,1.67,58.35
63809,0.65,702.7,2.1,0.67,51.16
63537,0.96,1811.03,1.27,0.66,48.9
62209,1.01,1369.06,0.69,0.98,51.12
62481,1.01,1369.06,0.69,0.98,51.12
